address,price_(dkk),area_(sqm),rooms,energy_rating,price_per_sqm_(dkk),days_on_market,image_url,property_url,market_status,price_category
"Vigerslevvej 328, 2500 Valby",2125000,61,3,c,34836,155,https://images.boligsiden.dk/images/case/23ffd9c7-1286-494e-b533-a9accd3b35ec/600x400/e7f5af7e-bf5a-44cf-9f62-29e1b01ed0b2.webp,https://www.boligsiden.dk/adresse/vigerslevvej-328-0-tv-2500-valby-01018320_328_st__tv,Old,Medium
"Hvidovrevej 180, 2650 Hvidovre",3495000,97,3,c,36031,109,https://images.boligsiden.dk/images/case/7f2a3ee3-8851-496e-870e-2c8b11109ef5/600x400/4855c86d-da4f-4fda-a119-2f35a82d8224.webp,https://www.boligsiden.dk/adresse/hvidovrevej-180-3-304-2650-hvidovre-01674032_180__3_304,Old,Medium
"Bonkesvej 6, 2650 Hvidovre",2495000,67,3,d,37239,112,https://images.boligsiden.dk/images/case/093063e0-2fbd-4583-9b69-7a98ba89112a/600x400/3b0ecbb6-4f16-41b6-b768-52468dca442a.webp,https://www.boligsiden.dk/adresse/bonkesvej-6-2-tv-2650-hvidovre-01670985___6__2__tv,Old,Medium
"Urtehaven 6A, 2500 Valby",2495000,67,3,d,37239,259,https://images.boligsiden.dk/images/case/e5e85899-6f8c-41d7-ae43-5aee89e798c2/600x400/1ce5867b-b4df-46b7-8f53-579025ac1765.webp,https://www.boligsiden.dk/adresse/urtehaven-6a-1-th-2500-valby-01017872__6a__1__th,Very Old,Medium
"Urtehaven 6B, 2500 Valby",2485000,66,3,d,37652,113,https://images.boligsiden.dk/images/case/99c437ec-6c2a-40ac-890d-0422c5a6fee5/600x400/0433b568-aa36-4761-8881-10b9f3272eeb.webp,https://www.boligsiden.dk/adresse/urtehaven-6b-2-th-2500-valby-01017872__6b__2__th,Old,Medium
"Næsborgvej 62, 2650 Hvidovre",2195000,58,3,c,37845,26,https://images.boligsiden.dk/images/case/78f4c995-a53e-451f-b1b8-4b9435f346b4/600x400/90e0d5ef-7657-4bcc-989b-4480bb0ca71b.webp,https://www.boligsiden.dk/adresse/naesborgvej-62-2-tv-2650-hvidovre-01676123__62__2__tv,New,Medium
"Dansborg Alle 3, 2650 Hvidovre",2795000,72,3,c,38819,11,https://images.boligsiden.dk/images/case/fb7e1706-0ec1-42e0-9fb8-01857219957a/600x400/5372be84-7a62-4c8d-af61-32b8d93e15a6.webp,https://www.boligsiden.dk/adresse/dansborg-alle-3-1-4-2650-hvidovre-01671612___3__1___4,New,Medium
"Spinderigade 5, 2500 Valby",4850000,124,3,c,39113,508,https://images.boligsiden.dk/images/case/79257d8a-8086-45fa-be08-e8110ac897e7/600x400/a2914ab9-bc94-45b5-acd9-6526026a6f23.webp,https://www.boligsiden.dk/adresse/spinderigade-5-3-1-2500-valby-01016771___5__3___1,Very Old,Medium
"Næsborgvej 42, 2650 Hvidovre",2295000,58,3,c,39569,78,https://images.boligsiden.dk/images/case/51e382b5-5b42-4a0c-abfe-1fc4f01c257e/600x400/4a78c5ae-4579-4f2b-9b0d-5d072cebd3f5.webp,https://www.boligsiden.dk/adresse/naesborgvej-42-2-th-2650-hvidovre-01676123__42__2__th,Moderate,Medium
"Vigerslevvej 61B, 2500 Valby",3395000,82,3,e,41402,100,https://images.boligsiden.dk/images/case/037bc4ed-87fd-4258-be05-305e49413d81/600x400/d345c085-a053-446c-a770-d1d116eb9a5b.webp,https://www.boligsiden.dk/adresse/vigerslevvej-61b-0-th-2500-valby-01018320_61b_st__th,Old,High
